Action,Date,Type,ApplicationNumber,BankName,Location,City,State,County,EndCmtPd
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313378,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-05-28,Branch Closings,2020-LB-BranchClosing-314698,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-05-28,Branch Establishment,2020-LB-BranchNew-314686,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-25
Receipt,2020-05-28,Branch Closings,2020-SO-BranchClosing-314782,NB of Commerce,1127 Tower Avenue,Superior,WI,Douglas, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313278,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313279,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313575,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Receipt,2020-05-28,Relocation,2020-LB-Relocation-314692,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2020-06-13
Approved,2020-05-29,Branch Establishment,2020-LB-BranchNew-314334,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-27
Consummated/Effective,2020-05-29,Branch Closings,2020-WE-BranchClosing-312950,"C3bank, NA","850 S. Coast Hwy 101, Suite 1",Encinitas,CA,San Diego, 
Receipt,2020-05-29,Subsidiaries & Equities,2020-LB-Subs&Equities-314724,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Receipt,2020-05-29,Branch Establishment,2020-LB-BranchNew-314707,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-06-28
Receipt,2020-05-29,Relocation,2020-CE-Relocation-313285,"First Mid Bank & Trust, NA",1515 Charleston Avenue,Mattoon,IL,Coles,2020-06-13
Receipt,2020-05-29,Branch Establishment,2020-SO-BranchNew-314733,First NB of Gilmer,201 North Wood Street,Gilmer,TX,Upshur,2020-07-02
Receipt,2020-05-29,Branch Closings,2020-NE-BranchClosing-314718,First NB of Long Island,10 Glen Head Road,Glen Head,NY,Nassau, 
Receipt,2020-05-29,Branch Closings,2020-NE-BranchClosing-314720,First NB of Long Island,10 Glen Head Road,Glen Head,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Establishment,2020-SO-BranchNew-312660,First NB Texas,507 N. Gray,Killeen,TX,Bell,2020-02-16
Consummated/Effective,2020-05-29,Subsidiaries & Equities,2020-SO-Subs&Equities-315033,First NB Texas,507 N. Gray,Killeen,TX,Bell, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313435,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313436,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313437,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313440,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313442,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313443,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313445,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313446,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313447,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313448,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313449,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313450,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313451,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313452,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313453,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313454,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313455,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313456,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313457,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313458,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313459,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313460,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313462,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313463,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313464,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313465,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313466,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313467,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313468,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313469,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313470,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313471,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313472,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313474,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313476,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313477,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313478,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313488,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313495,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313496,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313497,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313498,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313500,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313503,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313504,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313505,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313507,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313509,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313510,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313513,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313514,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313515,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313516,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313518,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313523,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313524,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313527,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313528,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313529,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313530,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313531,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313532,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313533,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313534,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313535,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313536,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313537,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313538,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313539,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313540,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313541,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313542,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313543,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313544,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313545,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313546,HSBC Bank USA NA,1800 Tysons Boulevard,Tysons,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-WE-BranchClosing-313228,"Sunflower Bank, NA",1400 16th St.,Denver,CO,Denver, 
Receipt,2020-05-29,Branch Establishment,2020-SO-BranchNew-312456,Woodforest NB,1330 Lake Robbins Drive,The Woodlands,TX,Montgomery,2020-06-28
Consummated/Effective,2020-05-31,Business Combinations,2019-WE-Combination-312218,"Bank of Southern California, NA","12265 El Camino Real, Suite 100",San Diego,CA,San Diego,2020-02-02
Consummated/Effective,2020-06-01,215a-3: Mergers with Non-Bank Affiliates,2020-WE-215a3-314049,AMG National Tr Bank,"1155 Canyon Boulevard, Suite 310",Boulder,CO,Boulder, 
Consummated/Effective,2020-06-01,Business Combinations,2020-WE-Combination-313711,AMG National Tr Bank,"1155 Canyon Boulevard, Suite 310",Boulder,CO,Boulder,2020-03-25
Consummated/Effective,2020-06-01,Fiduciary Powers,2020-WE-Fiduciary-314933,AMG National Tr Bank,"1155 Canyon Boulevard, Suite 310",Boulder,CO,Boulder, 
Consummated/Effective,2020-06-01,Business Combinations,2020-WE-Combination-313815,BATC NB,6295 Greenwood Plaza Blvd,Greenwood Village,CO,Arapahoe,2020-03-25
Consummated/Effective,2020-06-01,Fiduciary Powers,2020-WE-Fiduciary-314286,BATC NB,6295 Greenwood Plaza Blvd,Greenwood Village,CO,Arapahoe, 
Consummated/Effective,2020-06-01,New Bank Charter,2020-WE-Charter-313289,BATC NB,6295 Greenwood Plaza Blvd,Greenwood Village,CO, ,2020-03-19
Receipt,2020-06-01,Subsidiaries & Equities,2020-WE-Subs&Equities-314762,"CIT Bank, NA",95 South Lake Avenue,Pasadena,CA,Los Angeles, 
Receipt,2020-06-01,Subsidiaries & Equities,2020-WE-Subs&Equities-314763,"CIT Bank, NA",95 South Lake Avenue,Pasadena,CA,Los Angeles, 
Consummated/Effective,2020-06-01,Relocation,2019-NE-Relocation-310670,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2019-09-28
Consummated/Effective,2020-06-01,Relocation,2019-NE-Relocation-311229,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2019-11-06
Consummated/Effective,2020-06-01,Subsidiaries & Equities,2020-SO-Subs&Equities-313508,First Federal Bank,4705 US Highway 90 West,Lake City,FL,Suwannee, 
Consummated/Effective,2020-06-01,Branch Establishment,2019-NE-BranchNew-310386,"Fulton Bank, NA",One Penn Square P.O.Box 4887,Lancaster,PA,Lancaster,2019-08-30
Consummated/Effective,2020-06-01,Terminations,2020-NE-Termination-313387,Grundy NB,20957 Riverside Drive,Grundy,VA,Buchanan, 
Consummated/Effective,2020-06-01,Branch Establishment,2020-LB-BranchNew-314306,Huntington NB,17 South High Street,Columbus,OH,Franklin,2020-05-24
Consummated/Effective,2020-06-01,Branch Closings,2020-LB-BranchClosing-313556,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-06-01,Branch Closings,2020-LB-BranchClosing-314744,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Approved,2020-06-01,Branch Establishment,2020-LB-BranchNew-314387,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-31
Approved,2020-06-01,Branch Establishment,2020-LB-BranchNew-314392,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-29
Receipt,2020-06-01,Branch Establishment,2020-LB-BranchNew-314742,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-27
Withdrawn,2020-06-01,Conversions,2020-NE-Conversion-313522,Mainstreet Bk,10089 Fairfax Boulevard,Fairfax,VA,Fairfax City, 
Receipt,2020-06-01,Relocation,2020-LB-Relocation-314731,"TD Bank, NA",2035 Limestone Road,Wilmington,DE,New Castle,2020-06-16
Consummated/Effective,2020-06-01,Branch Establishment,2017-SO-BranchNew-301229,Texas NB,201 S. Texas,Mercedes,TX,Hidalgo,2018-02-02
Receipt,2020-06-01,Branch Establishment,2020-SO-BranchNew-312457,Woodforest NB,1330 Lake Robbins Drive,The Woodlands,TX,Montgomery,2020-07-01
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314266,"Bank of America, NA","100 North Tryon Street, Suite 170",Charlotte,NC,Mecklenburg,2020-05-20
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313598,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313599,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313600,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-314791,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314363,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-29
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314364,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-29
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314367,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-05-30
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313640,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313643,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313644,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Approved,2020-06-02,Business Combinations,2020-NE-Combination-314330,Webster Bank NA,137 Bank Street - Webster Plaza,Waterbury,CT,New Haven,2020-05-24
Approved,2020-06-02,Relocation,2020-LB-Relocation-314476,"Wells Fargo Bank, N.A.",101 North Philips Avenue,Sioux Falls,SD,Minnehaha,2020-05-27
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314752,"Zions Bancorporation, NA",One South Main Street,Salt Lake City,UT,Salt Lake, 
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314753,"Zions Bancorporation, NA",One South Main Street,Salt Lake City,UT,Salt Lake, 
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314754,"Zions Bancorporation, NA",One South Main Street,Salt Lake City,UT,Salt Lake, 
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314779,"Zions Bancorporation, NA",One South Main Street,Salt Lake City,UT,Salt Lake, 
Receipt,2020-06-03,Branch Closings,2020-WE-BranchClosing-314770,"Bank of Southern California, NA","12265 El Camino Real, Suite 100",San Diego,CA,San Diego, 
Receipt,2020-06-03,Branch Closings,2020-WE-BranchClosing-314773,"Bank of Southern California, NA","12265 El Camino Real, Suite 100",San Diego,CA,San Diego, 
Receipt,2020-06-03,Branch Closings,2020-WE-BranchClosing-314775,"Bank of Southern California, NA","12265 El Camino Real, Suite 100",San Diego,CA,San Diego, 
Receipt,2020-06-03,Relocation,2020-SO-Relocation-314846,Broadway NB,1177 N.E. Loop 410,San Antonio,TX,Bexar,2020-06-12
Consummated/Effective,2020-06-03,Subsidiaries & Equities,2020-LB-Subs&Equities-314899,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-06-03,Subsidiaries & Equities,2020-LB-Subs&Equities-314900,"Capital One, NA",1680 Capital One Drive,McLean,VA,Fairfax, 
Consummated/Effective,2020-06-03,Relocation,2020-WE-Relocation-314769,Capitol FSB,700 S Kansas Ave,Topeka,KS,Shawnee, 
Receipt,2020-06-03,Relocation,2020-WE-Relocation-314769,Capitol FSB,700 S Kansas Ave,Topeka,KS,Shawnee, 
Consummated/Effective,2020-06-03,Branch Closings,2020-LB-BranchClosing-313617,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence, 
Consummated/Effective,2020-06-03,Branch Closings,2020-LB-BranchClosing-313618,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence, 
Consummated/Effective,2020-06-03,Branch Closings,2020-LB-BranchClosing-313619,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence, 
Receipt,2020-06-03,Relocation,2020-SO-Relocation-314785,"First Century Bank, NA",807 Dorsey Street,Gainesville,GA,Hall,2020-07-03
Receipt,2020-06-03,Branch Closings,2020-SO-BranchClosing-314588,Great Plains NB,2017 West Third,Elk City,OK,Beckham, 
Disapproved (CBCA),2020-06-04,Change in Bank Control,2020-NE-CBCA-314119,Bessemer Tr Co NA,"630 Fifth Avenue, 39th Floor",New York,NY,New York,2020-04-13
Approved,2020-06-04,Relocation,2020-LB-Relocation-314533,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2020-05-29
Receipt,2020-06-04,Branch Closings,2020-SO-BranchClosing-314786,"First Century Bank, NA",807 Dorsey Street,Gainesville,GA,Hall, 
Consummated/Effective,2020-06-04,Branch Closings,2020-LB-BranchClosing-313601,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-06-04,Branch Closings,2020-LB-BranchClosing-313602,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Approved,2020-06-04,Branch Establishment,2020-LB-BranchNew-314391,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-06-03
Receipt,2020-06-04,Branch Establishment,2020-LB-BranchNew-314774,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware,2020-07-02
Consummated/Effective,2020-06-04,Branch Closings,2020-LB-BranchClosing-313645,U.S. Bank NA,425 Walnut Street,Cincinnati,OH,Hamilton, 
Receipt,2020-06-04,Branch Establishment,2020-SO-BranchNew-312455,Woodforest NB,1330 Lake Robbins Drive,The Woodlands,TX,Montgomery,2020-07-03
Approved,2020-06-05,Federal Branch & Agency - Initial Establishment,2019-NE-FBA_InitialEst-310409, ,Simon Carmiggeltstraat 6-50,Amsterdam, , ,2019-07-26
Receipt,2020-06-05,Branch Closings,2020-LB-BranchClosing-314792,"Fifth Third Bank, NA",38 Fountain Square Plaza,Cincinnati,OH,Hamilton, 
Receipt,2020-06-05,Branch Closings,2020-LB-BranchClosing-314791,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-06-05,Branch Closings,2020-LB-BranchClosing-314958,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Receipt,2020-06-05,New Bank Charter,2020-NE-Charter-314805,"NewBank, NA",XXX Street,Wilmington,DE, ,2020-08-01
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314696,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314704,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314741,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314756,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314757,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314759,PNC Bank NA,222 Delaware Avenue,Wilmington,DE,New Castle,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314793,"TD Bank, NA",2035 Limestone Road,Wilmington,DE,New Castle,2020-07-05
Consummated/Effective,2020-06-08,Business Combinations,2020-SO-Combination-313656,"CenterState Bank, NA",1101 First Street South,Winter Haven,FL,Polk,2020-04-04
Consummated/Effective,2020-06-08,Relocation,2019-NE-Relocation-311784,"Citizens Bank, NA",One Citizens Plaza,Providence,RI,Providence,2019-12-14
Approved,2020-06-08,Relocation,2020-SO-Relocation-314557,"Commercial Bank of Texas, NA",215 E. Main Street,Nacogdoches,TX,Nacogdoches,2020-06-04
Consummated/Effective,2020-06-08,Branch Closings,2020-LB-BranchClosing-312924,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
Consummated/Effective,2020-06-08,Branch Closings,2020-LB-BranchClosing-313208,"JPMorgan Chase Bank, NA",1111 Polaris Parkway,Columbus,OH,Delaware, 
