Action,Date,Type,ApplicationNumber,BranchName,Location,City,State,County,EndCmtPd
Receipt,2020-05-28,Branch Closings,2020-SO-BranchClosing-314782,None Given,4929 Decker Road,Duluth,MN,St. Clair, 
Receipt,2020-05-28,Relocation,2020-LB-Relocation-314692,North 19th,1400 NORTH 19TH STREET,BOZEMAN,MT,Gallatin,2020-06-13
Receipt,2020-05-28,Branch Closings,2020-WE-BranchClosing-314661,North 90th Street Branch,3205 N. 90TH STREET,OMAHA,NE,Douglas, 
Receipt,2020-05-28,Branch Closings,2020-WE-BranchClosing-314664,Prairie Lake Branch,8633 ANDERMATT DRIVE,LINCOLN,NE,Lancaster, 
Approved,2020-05-28,Relocation,2020-LB-Relocation-314470,Rockefeller Plaza Branch,ONE ROCKEFELLER PLAZA,NEW YORK CITY,NY,New York,2020-05-26
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313278,Stewartsville,3RD & MAIN STS,STEWARTSVILLE,MO,Dekalb, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313575,Tustin Branch,17851 17TH ST,TUSTIN,CA,Orange, 
Consummated/Effective,2020-05-28,Branch Closings,2020-LB-BranchClosing-313378,White Plains Gateway Plaza,1 NORTH LEXINGTON AVENUE,WHITE PLAINS,NY,Westchester, 
Receipt,2020-05-29,Subsidiaries & Equities,2020-LB-Subs&Equities-314724, , , , , , 
Consummated/Effective,2020-05-29,Subsidiaries & Equities,2020-SO-Subs&Equities-315033, , , , , , 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313523,108th Street Branch,63-46 108th Street,Forest Hill,NY,Queens, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313539,10TH Avenue,829 10th Avenue,New York,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313469,117 Broadway,117 Broadway,New York,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313460,2 Park Avenue Branch,2 PARK AVENUE,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313540,21st Street & 5th Avenue Office,145 FIFTH AVENUE,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313536,37th Ave. Branch,7627 37TH AVE.,JACKSON HEIGHTS,NY,Queens, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313457,Artesia Branch,18182 PIONEER BOULEVARD,ARTESIA,CA,Los Angeles, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313509,Bal Harbour Surfside Branch,9501 HARDING AVENUE,SURFSIDE,FL,Miami-Dade, 
Consummated/Effective,2020-05-29,Branch Closings,2020-WE-BranchClosing-313228,"Bank of The Rio Grande, National Association",3500 NORTHRISE DRIVE,LAS CRUCES,NM,Dona Ana, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313467,Bay Ridge Branch,7424 13TH AVE.,BROOKLYN,NY,Kings, 
Receipt,2020-05-29,Branch Establishment,2020-SO-BranchNew-312456,Birmingham (Walmart) - AL - Branch,9248 Parkway E,Birmingham,AL,Jefferson,2020-06-28
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313510,Biscayne Branch,"2 S. BISCAYNE BLVD., Suite 106",MIAMI,FL,Miami-Dade, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313447,Boca Mizner Branch,101 NORTH FEDERAL HWY.,BOCA RATON,FL,Palm Beach, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313450,Boca West,19102 SOUTH STATE ROAD 7,BOCA RATON,FL,Palm Beach, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313503,Boro Park Branch,4410 13TH AVE.,BROOKLYN,NY,Kings, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313436,Brighton Beach Branch,320 BRIGHTON BEACH AVENUE,BROOKLYN,NY,Kings, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313543,Broadway & 9th Branch,769 BROADWAY,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313437,Broadway & Elmhurst,8257 BROADWAY,ELMHURST,NY,Queens, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313458,Bronx Co-Op Branch,355 FOOD CENTER DRIVE,BRONX,NY,Bronx, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313488,Cedarhurst Branch,125 CEDARHURST AVE.,CEDARHURST,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313518,Central Park Branch.,2205 CENTRAL PARK AV,YONKERS,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313545,City Hall Branch,335 Broadway,New York,NY,New York, 
Receipt,2020-05-29,Relocation,2020-CE-Relocation-313285,Clayton Branch,"225 South Meramec Avenue, Suite 302",Clayton,MO,St Louis,2020-06-13
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313454,Darien Branch,151 BOSTON POST ROAD,DARIEN,CT,Fairfield, 
Receipt,2020-05-29,Branch Closings,2020-NE-BranchClosing-314718,Deer Park Branch,60 EAST INDUSTRY COURT,DEER PARK,NY,Suffolk, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313471,East Broadway Office,11 EAST BROADWAY,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313440,East Northport Branch,310 LARKFIELD ROAD,EAST NORTHPORT,NY,Suffolk, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313465,Eastchester Branch,356 WHITE PLAINS RD,EASTCHESTER,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313477,Fairfax Office,3925 CHAIN BRIDGE ROAD 201,FAIRFAX,VA,Fairfax, 
Receipt,2020-05-29,Branch Establishment,2020-SO-BranchNew-314733,First National Bank Emory,105 Tawakoni Drive,Emory,TX,Rains,2020-07-02
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313478,Florham Park Office,2 HANOVER ROAD,FLORHAM PARK,NJ,Morris, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313443,Fort Lauderdale Branch,1600 SE 17th Street,FORT LAUDERDALE,FL,Broward, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313533,Garden City Branch,147 SEVENTH STREET,GARDEN CITY,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313462,Garden Grove Branch,"9622 GARDEN GROVE BOULEVARD,Suite 101",GARDEN GROVE,CA,Orange, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313507,Georgetown D.C.,1715 WISCONSIN AVENUE NW,WASHINGTON,DC,District of Columbia, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313463,Getty Square Branch,66 Main Street,Yonkers,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313474,Grand Street Branch,307 GRAND STREET,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313476,Greenburgh Branch,371 TARRYTOWN RD.,White Plains,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313500,Hanson Place,122 Flatbush Avenue,Brooklyn,NY,Kings, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313451,Hauppauge Branch,660 VANDERBILT MOTOR PKWY.,HAUPPAUGE,NY,Suffolk, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313544,Herald Square Branch,1350 BROADWAY,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313495,Hewlett Branch,1315 PENINSULA BLVD.,HEWLETT,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313459,Hunts Pt. Branch,1360 EAST BAY AVE.,BRONX,NY,Bronx, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313541,Hylan Boulevard Branch,1413 HYLAN BOULEVARD,STATEN ISLAND,NY,Richmond, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313452,Jackson Heights Branch,35-48 JUNCTION BLVD.,JACKSON HEIGHTS,NY,Queens, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313456,Kings Hwy & E. 16th Branch,1602 KINGS HWY.,BROOKLYN,NY,Kings, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313470,Kings Hwy & Mcdonald Branch,481 KINGS HWY.,BROOKLYN,NY,Kings, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313527,Kissena Blvd. Branch,41-77 KISSENA BLVD.,FLUSHING,NY,Queens, 
Receipt,2020-05-29,Branch Closings,2020-NE-BranchClosing-314720,Lower Broadway Branch,225 BROADWAY,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313528,Madison & 78th Branch,1002 MADISON AVE.,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313468,Mamaroneck Branch,1043 WEST BOSTON POST ROAD,MAMARONECK,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-WE-BranchClosing-312950,Marron Road Branch,2365 MARRON ROAD,CARLSBAD,CA,San Diego, 
Receipt,2020-05-29,Branch Establishment,2020-LB-BranchNew-314707,Mass. Ave. Branch,183 Massachusetts Avenue,Boston,MA,Suffolk,2020-06-28
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313534,Massapequa Branch,5500 SUNRISE HWY.,MASSAPEQUA,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313442,Merrick Branch,2160 SUNRISE HIGHWAY,MERRICK,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313496,Morristown Branch,20 NORTH PARK PLACE,MORRISTOWN,NJ,Morris, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313466,Mount Vernon Branch,123 GRAMATAN AVE.,MOUNT VERNON,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313516,North Edison Branch,33 ROUTE 27,EDISON,NJ,Middlesex, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313513,North Yonkers Branch,1201 NEPPERHAN AVE.,YONKERS,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313446,Oceanside Branch,3546 LONG BEACH ROAD,Oceanside,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313532,Oyster Bay,275 SOUTH STREET,OYSTER BAY,NY,Nassau, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313464,Park Ave & 40th St. Branch,101 PARK AVE.,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313531,Pelham Branch,50 FIFTH AV,PELHAM,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313505,Pinecrest Branch,9469 SOUTH DIXIE HIGHWAY,MIAMI DADE,FL,Miami-Dade, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313449,Pompano Branch,301 NORTH FEDERAL HIGHWAY,POMPANO BEACH,FL,Broward, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313529,Port Washington Branch,36 SOUNDVIEW MARKET Place,PORT WASHINGTON,NY,Nassau, 
Approved,2020-05-29,Branch Establishment,2020-LB-BranchNew-314334,Progress Ridge Townsquare,"14925 SW Barrows Road, Ste 115",Beaverton,OR,Washington,2020-05-27
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313535,Queens Village Branch,220-09 HILLSIDE AVE.,QUEENS VILLAGE,NY,Queens, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313515,Ramsey,185 ARCH STREET,RAMSEY,NJ,Bergen, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313453,Rego Park Branch,9501 63RD DRIVE,REGO PARK,NY,Queens, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313504,Rockaway Pkwy. Branch,2001 ROCKAWAY PKWY.,BROOKLYN,NY,Kings, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313514,Rosslyn Branch,"1600 WILSON BOULEVARD, SUITE 807",ARLINGTON,VA,Arlington, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313435,Soundview Branch,1580 WESTCHESTER AVENUE,BRONX,NY,Bronx, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313455,Stamford Office,"7 LANDMARK SQUARE, 101 Broad Street",STAMFORD,CT,Fairfield, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313538,Turtle Bay Branch,777 3RD AVE.,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313537,Varick Branch,207 VARICK ST.,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313497,Vienna Branch,214 MAPLE AVENUE W,VIENNA,VA,Fairfax, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313542,Walt Whitman Branch,160 WALT WHITMAN ROAD #1083,HUNTINGTON STATION,NY,Suffolk, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313546,Washington Square,374 Avenue of the Americas,New York,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313448,Wellington Branch,900 S STATE ROAD 7,WELLINGTON,FL,Palm Beach, 
Consummated/Effective,2020-05-29,Branch Establishment,2020-SO-BranchNew-312660,West Adams First Convenience Bank,6801 W. Adams Ave.,Temple,TX,Bell,2020-02-16
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313530,West Babylon Branch,85 FARMINGDALE ROAD,WEST BABYLON,NY,Suffolk, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313524,West End Branch,2411 BROADWAY,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313445,Westport,24 Elm Street,Westport,CT,Fairfield, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313498,White Plains Branch,148 Mamaroneck Avenue,White Plains,NY,Westchester, 
Consummated/Effective,2020-05-29,Branch Closings,2020-LB-BranchClosing-313472,William Branch,110 WILLIAM STREET,NEW YORK,NY,New York, 
Consummated/Effective,2020-05-31,Business Combinations,2019-WE-Combination-312218, , , , , ,2020-02-02
Consummated/Effective,2020-06-01,215a-3: Mergers with Non-Bank Affiliates,2020-WE-215a3-314049, , , , , , 
Consummated/Effective,2020-06-01,Business Combinations,2020-WE-Combination-313711, , , , , ,2020-03-25
Consummated/Effective,2020-06-01,Business Combinations,2020-WE-Combination-313815, , , , , ,2020-03-25
Consummated/Effective,2020-06-01,Fiduciary Powers,2020-WE-Fiduciary-314286, , , , , , 
Consummated/Effective,2020-06-01,Fiduciary Powers,2020-WE-Fiduciary-314933, , , , , , 
Consummated/Effective,2020-06-01,Subsidiaries & Equities,2020-SO-Subs&Equities-313508, , , , , , 
Receipt,2020-06-01,Subsidiaries & Equities,2020-WE-Subs&Equities-314762, , , , , , 
Receipt,2020-06-01,Subsidiaries & Equities,2020-WE-Subs&Equities-314763, , , , , , 
Receipt,2020-06-01,Relocation,2020-LB-Relocation-314731,50th & Broadway Branch,1633 BROADWAY,NEW YORK,NY,New York,2020-06-16
Consummated/Effective,2020-06-01,New Bank Charter,2020-WE-Charter-313289,BATC NB,6295 Greenwood Plaza Blvd,Greenwood Village,CO, ,2020-03-19
Consummated/Effective,2020-06-01,Branch Establishment,2020-LB-BranchNew-314306,Berea Drive Thru,31 E. Bridge St.,Berea,OH,Cuyahoga,2020-05-24
Consummated/Effective,2020-06-01,Relocation,2019-NE-Relocation-311229,Church St,209 Church Street,New Haven,CT,New Haven,2019-11-06
Withdrawn,2020-06-01,Conversions,2020-NE-Conversion-313522,Clarendon Branch,1000 N. Highland Street,Arlington,VA,Arlington, 
Consummated/Effective,2020-06-01,Terminations,2020-NE-Termination-313387,Clinch Valley Bank Branch,12660 GOVERNOR G.C. PEERY HIGHWAY,POUNDING MILL,VA,Tazewell, 
Receipt,2020-06-01,Branch Establishment,2020-SO-BranchNew-312457,Columbus (Walmart) - OH - Branch,3900 Morse Rd,Columbus,OH,Franklin,2020-07-01
Withdrawn,2020-06-01,Conversions,2020-NE-Conversion-313522,DC Branch,"1130 Connecticut Avenue, NW",Washington,DC,District of Columbia, 
Consummated/Effective,2020-06-01,Terminations,2020-NE-Termination-313387,Deel Branch,ROUTE 460,DEEL,VA,Buchanan, 
Withdrawn,2020-06-01,Conversions,2020-NE-Conversion-313522,Fairfax City Branch,4029 Chain Bridge Road,Fairfax,VA,Fairfax City, 
Consummated/Effective,2020-06-01,Relocation,2019-NE-Relocation-310670,Framingham,"303 WORCESTER ROAD, RTE. 9",FRAMINGHAM,MA,Middlesex,2019-09-28
Approved,2020-06-01,Branch Establishment,2020-LB-BranchNew-314392,Gastonia,NEC Cox Road and E Franklin Blvd,Gastonia,NC,Gaston,2020-05-29
Consummated/Effective,2020-06-01,Terminations,2020-NE-Termination-313387,Grundy National Bank West Riverside,U.S. 460 WEST AT STILTNER'S CREEK,GRUNDY,VA,Buchanan, 
Approved,2020-06-01,Branch Establishment,2020-LB-BranchNew-314387,Harrisburg,SEC Harrisburg Veterans Road and NC Hwy 49,Harrisburg,NC,Cabarrus,2020-05-31
Withdrawn,2020-06-01,Conversions,2020-NE-Conversion-313522,Herndon Branch,727 Elden Street,Herndon,VA,Fairfax, 
Consummated/Effective,2020-06-01,Terminations,2020-NE-Termination-313387,Holston Valley Bank Branch,498 CUMMINGS STREET,ABINGDON,VA,Washington, 
Consummated/Effective,2020-06-01,Terminations,2020-NE-Termination-313387,Hurley Branch,INTER. OF VIRGINIA 650 & 643,HURLEY,VA,Buchanan, 
Withdrawn,2020-06-01,Conversions,2020-NE-Conversion-313522,Leesburg Branch,307 E. Market Street,Leesburg,VA,Loudoun, 
Withdrawn,2020-06-01,Conversions,2020-NE-Conversion-313522,McLean Branch,1354 Old Chain Bridge Road,McLean,VA,Fairfax, 
Receipt,2020-06-01,Branch Closings,2020-LB-BranchClosing-314744,Miami Civic Center,1400 NW 17TH AVE,MIAMI,FL,Miami-Dade, 
Receipt,2020-06-01,Branch Establishment,2020-LB-BranchNew-314742,Moorestown W Main Street,SWC West Main Street and North Close,Moorestown,NJ,Burlington,2020-06-27
Consummated/Effective,2020-06-01,Terminations,2020-NE-Termination-313387,Not Given,180 CLAY DRIVE,POUNDING MILL,VA,Tazewell, 
Consummated/Effective,2020-06-01,Branch Closings,2020-LB-BranchClosing-313556,Scottsdale - Horizon,14854 N FRANK LLOYD WRIGHT BLVD,SCOTTSDALE,AZ,Maricopa, 
Consummated/Effective,2020-06-01,Branch Establishment,2017-SO-BranchNew-301229,TNB - San Juan,920 W. Interstate 2,San Juan,TX,Hidalgo,2018-02-02
Consummated/Effective,2020-06-01,Branch Establishment,2019-NE-BranchNew-310386,Yard 56 Branch,"5601 Eastern Avenue, Suite 204",Baltimore,MD,Baltimore City,2019-08-30
Approved,2020-06-02,Business Combinations,2020-NE-Combination-314330, , , , , ,2020-05-24
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314752, , , , , , 
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314753, , , , , , 
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314754, , , , , , 
Receipt,2020-06-02,Subsidiaries & Equities,2020-WE-Subs&Equities-314779, , , , , , 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313598,Alhambra East Main Street,808 E MAIN STREET,ALHAMBRA,CA,Los Angeles, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313599,Carroll Gardens,79 HAMILTON AVENUE,BROOKLYN,NY,Kings, 
Approved,2020-06-02,Relocation,2020-LB-Relocation-314476,Coconut Grove,2665 SOUTH BAYSHORE DRIVE,COCONUT GROVE,FL,Dade,2020-05-27
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314367,Freedom Drive,NWC Freedom Drive and Alleghany Street,Charlotte,NC,Mecklenburg,2020-05-30
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314364,Marco Island South,SEC San Marco Road and South Barfield Drive,Marco Island,FL,Collier,2020-05-29
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314266,Mayfield Heights,1318 SOM Center Road,Mayfield Heights,OH,Cuyahoga,2020-05-20
Approved,2020-06-02,Branch Establishment,2020-LB-BranchNew-314363,Northport West Villages,SWC US Highway 41 and West Villages Parkway,Venice,FL,Sarasota,2020-05-29
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313644,Renton Highlands,2950 NE Sunset Blvd,Renton,WA,King, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313600,Salmon Creek Fred Meyer,"800 NE TENNEY RD, STE A",VANCOUVER,WA,Clark, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313643,San Ramon Valley Boulevard Safeway,2505 SAN RAMON VALLEY,SAN RAMON,CA,Contra Costa, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-314791,Shasta Way Fred Meyer,2655 SHASTA WAY,KLAMATH FALLS,OR,Klamath, 
Consummated/Effective,2020-06-02,Branch Closings,2020-LB-BranchClosing-313640,Wisconsin Rapids Adams,1146 County Road D,Nekoosa,WI,Adams, 
Receipt,2020-06-03,Relocation,2020-SO-Relocation-314785, , , , , ,2020-07-03
Consummated/Effective,2020-06-03,Subsidiaries & Equities,2020-LB-Subs&Equities-314899, , , , , , 
Consummated/Effective,2020-06-03,Subsidiaries & Equities,2020-LB-Subs&Equities-314900, , , , , , 
Consummated/Effective,2020-06-03,Relocation,2020-WE-Relocation-314769,Capitol Fsb - Gardner Price Chopper Branch,830 East Main Street,Gardner,KS,Johnson, 
Receipt,2020-06-03,Relocation,2020-WE-Relocation-314769,Capitol Fsb - Gardner Price Chopper Branch,830 East Main Street,Gardner,KS,Johnson, 
Receipt,2020-06-03,Branch Closings,2020-WE-BranchClosing-314773,Commerce Branch,6001 E Washington Blvd,Commerce,CA,Los Angeles, 
Receipt,2020-06-03,Branch Closings,2020-SO-BranchClosing-314588,Great Plains National Bank,2022 EAST 1110 ROAD,ELK CITY,OK,Beckham, 
Consummated/Effective,2020-06-03,Branch Closings,2020-LB-BranchClosing-313617,Hartford,190 TRUMBULL STREET,HARTFORD,CT,Middlesex, 
Receipt,2020-06-03,Branch Closings,2020-WE-BranchClosing-314775,Huntington Beach Branch,"7711 Center Avenue, Suite 110",Huntington Beach,CA,Orange, 
Receipt,2020-06-03,Relocation,2020-SO-Relocation-314846,Kerrville,500 MAIN STREET,KERRVILLE,TX,Kerr,2020-06-12
Receipt,2020-06-03,Branch Closings,2020-WE-BranchClosing-314770,Lancaster Branch,539 W. Lancaster Blvd.,Lancaster,CA,Los Angeles, 
Consummated/Effective,2020-06-03,Branch Closings,2020-LB-BranchClosing-313619,Point Place,5150 N. SUMMIT STREET,TOLEDO,OH,Lucas, 
Consummated/Effective,2020-06-03,Branch Closings,2020-LB-BranchClosing-313618,Shelburne,5068 SHELBURNE ROAD,SHELBURNE,VT,Chittenden, 
Disapproved (CBCA),2020-06-04,Change in Bank Control,2020-NE-CBCA-314119, , , , , ,2020-04-13
Receipt,2020-06-04,Branch Closings,2020-SO-BranchClosing-314786,Commerce Branch,1731 N Elm Street,Commerce,GA,Jackson, 
Approved,2020-06-04,Branch Establishment,2020-LB-BranchNew-314391,Covington Square,SWC SE 272nd Street (aka Hwy 516) and 172nd Ave SE,Covington,WA,King,2020-06-03
Receipt,2020-06-04,Branch Establishment,2020-SO-BranchNew-312455,Foley (Walmart) - AL - Branch,2200 S McKenzie St,Foley,AL,Baldwin,2020-07-03
Receipt,2020-06-04,Branch Establishment,2020-LB-BranchNew-314774,Howell Mill and 14th,SEC 14th Street NW and Howell Mill Road NW,Atlanta,GA,Fulton,2020-07-02
Consummated/Effective,2020-06-04,Branch Closings,2020-LB-BranchClosing-313602,North Medford Ferd Meyer,2424 CRATER LAKE HWY,MEDFORD,OR,Jackson, 
Consummated/Effective,2020-06-04,Branch Closings,2020-LB-BranchClosing-313601,Peninsula Fred Meyer,"6850 N LOMBARD ST, STE 128",PORTLAND,OR,Multnomah, 
Approved,2020-06-04,Relocation,2020-LB-Relocation-314533,South Hills,1248 South Atherton Street,State College,PA,Centre,2020-05-29
Consummated/Effective,2020-06-04,Branch Closings,2020-LB-BranchClosing-313645,West Great Falls Branch,511 CENTRAL AVENUE WEST,GREAT FALLS,MT,Cascade, 
Approved,2020-06-05,Federal Branch & Agency - Initial Establishment,2019-NE-FBA_InitialEst-310409, , , , , ,2019-07-26
Receipt,2020-06-05,Branch Closings,2020-LB-BranchClosing-314792,01625 Grand Haven-Downtown BC,233 Washington Street,Grand Haven,MI,Ottawa, 
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314741,Burlington,6 Wayside Rd Ste G-1,Burlington,MA,Middlesex,2020-07-05
Consummated/Effective,2020-06-05,Branch Closings,2020-LB-BranchClosing-314958,Carefree & 48th Street Frys,"4815 EAST CAREFREE HIGHWAY, SUITE 100",CAVE CREEK,AZ,Maricopa, 
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314757,Chestnut Hill,55 Boylston St,Chestnut Hill,MA,Middlesex,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314756,Dedham,440 Legacy Place,Dedham,MA,Norfolk,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314696,Hendersonville,207B Indian Lake Blvd,Hendersonville,TN,Sumner,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314759,Lynnfield,1380 Market St,Lynnfield,MA,Essex,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314704,Midtown Broadway,1198 Broadway,Nashville,TN,Davidson,2020-07-05
Receipt,2020-06-05,Branch Establishment,2020-LB-BranchNew-314793,Mount Pleasant Muhlenbergia Drive,"1135 Muhlenbergia Drive, Suite 102",Mount Pleasant,SC,Charleston,2020-07-05
Receipt,2020-06-05,New Bank Charter,2020-NE-Charter-314805,"NewBank, NA",XXX Street,Wilmington,DE, ,2020-08-01
Receipt,2020-06-05,Branch Closings,2020-LB-BranchClosing-314791,Shasta Way Fred Meyer,2655 SHASTA WAY,KLAMATH FALLS,OR,Klamath, 
Consummated/Effective,2020-06-08,Business Combinations,2020-SO-Combination-313656, , , , , ,2020-04-04
Approved,2020-06-08,Relocation,2020-SO-Relocation-314557,Gaslight Branch,1873 WEST FRANK STREET,LUFKIN,TX,Angelina,2020-06-04
